# 作者|展示标题|定位诗句（兼容标点）|all 或明确选句（/分隔）
李商隐|无题|相见时难别亦难|相见时难别亦难/东风无力百花残/春蚕到死丝方尽/蜡炬成灰泪始干
李商隐|锦瑟|锦瑟无端五十弦|锦瑟无端五十弦/一弦一柱思华年/沧海月明珠有泪/蓝田日暖玉生烟/此情可待成追忆/只是当时已惘然
李商隐|无题|昨夜星辰昨夜风|身无彩凤双飞翼/心有灵犀一点通
崔护|题都城南庄|去年今日此门中|all
罗隐|蜂|不论平地与山尖|all
郑谷|淮上与友人别|扬子江头杨柳春|all
王驾|雨晴|雨前初见花间蕊|all
金昌绪|春怨|打起黄莺儿|all
# 待核对通行异文，暂不入库：杜秋娘|金缕衣|劝君莫惜金缕衣|all
王勃|送杜少府之任蜀州|城阙辅三秦|海内存知己/天涯若比邻
王湾|次北固山下|客路青山外|all
孟浩然|过故人庄|故人具鸡黍|all
孟浩然|望洞庭湖赠张丞相|八月湖水平|八月湖水平/涵虚混太清/气蒸云梦泽/波撼岳阳城
王维|山居秋暝|空山新雨后|all
王维|使至塞上|单车欲问边|大漠孤烟直/长河落日圆
王维|终南别业|中岁颇好道|行到水穷处/坐看云起时
王维|汉江临泛|楚塞三湘接|江流天地外/山色有无中
常建|题破山寺后禅院|清晨入古寺|all
李白|送友人|青山横北郭|all
李白|渡荆门送别|渡远荆门外|all
李白|秋登宣城谢脁北楼|江城如画里|江城如画里/山晚望晴空
杜甫|春望|国破山河在|all
杜甫|春夜喜雨|好雨知时节|all
杜甫|月夜忆舍弟|戍鼓断人行|露从今夜白/月是故乡明
杜甫|旅夜书怀|细草微风岸|星垂平野阔/月涌大江流
杜甫|登高|风急天高猿啸哀|all
杜甫|登岳阳楼|昔闻洞庭水|昔闻洞庭水/今上岳阳楼/吴楚东南坼/乾坤日夜浮
杜甫|闻官军收河南河北|剑外忽传收蓟北|all
杜甫|蜀相|丞相祠堂何处寻|出师未捷身先死/长使英雄泪满襟
李白|行路难|金樽清酒斗十千|长风破浪会有时/直挂云帆济沧海
李白|将进酒|天生我材必有用|天生我材必有用/千金散尽还复来
李白|宣州谢朓楼饯别校书叔云|抽刀断水水更流|抽刀断水水更流/举杯消愁愁更愁
李白|梦游天姥吟留别|使我不得开心颜|使我不得开心颜
岑参|白雪歌送武判官归京|忽如一夜春风来|忽如一夜春风来/千树万树梨花开/山回路转不见君/雪上空留马行处
杜甫|望岳|岱宗夫如何|会当凌绝顶/一览众山小
杜甫|茅屋为秋风所破歌|大庇天下寒士俱欢颜|安得广厦千万间
白居易|琵琶行|同是天涯沦落人|同是天涯沦落人/相逢何必曾相识/千呼万唤始出来/犹抱琵琶半遮面/嘈嘈切切错杂弹/大珠小珠落玉盘/别有幽愁暗恨生/此时无声胜有声
白居易|长恨歌|在天愿作比翼鸟|在天愿作比翼鸟/在地愿为连理枝/天长地久有时尽/此恨绵绵无绝期/回眸一笑百媚生/六宫粉黛无颜色
张若虚|春江花月夜|春江潮水连海平|春江潮水连海平/海上明月共潮生/江畔何人初见月/江月何年初照人/人生代代无穷已/江月年年望相似
崔颢|黄鹤楼|昔人已乘黄鹤去|昔人已乘黄鹤去/此地空余黄鹤楼/黄鹤一去不复返/白云千载空悠悠/晴川历历汉阳树/日暮乡关何处是/烟波江上使人愁
刘长卿|长沙过贾谊宅|三年谪宦此栖迟|秋草独寻人去后/寒林空见日斜时
# 待核对通行异文，暂不入库：许浑|咸阳城东楼|一上高城万里愁|溪云初起日沉阁/山雨欲来风满楼
王安石|元日|爆竹声中一岁除|all
# 课标有此篇，以课标为准：王安石|泊船瓜洲|京口瓜洲一水间|all
王安石|梅花|墙角数枝梅|all
王安石|登飞来峰|不畏浮云遮望眼|all
# 待核对通行异文，暂不入库：王安石|书湖阴先生壁|茅檐长扫净无苔|all
# 课标有此篇，以课标为准：苏轼|题西林壁|横看成岭侧成峰|all
苏轼|饮湖上初晴后雨|水光潋滟晴方好|all
苏轼|惠崇春江晚景|竹外桃花三两枝|all
苏轼|六月二十七日望湖楼醉书|黑云翻墨未遮山|all
苏轼|赠刘景文|荷尽已无擎雨盖|all
苏轼|和子由渑池怀旧|人生到处知何似|人生到处知何似/应似飞鸿踏雪泥
陆游|游山西村|莫笑农家腊酒浑|山重水复疑无路/柳暗花明又一村
陆游|示儿|死去元知万事空|all
陆游|十一月四日风雨大作|僵卧孤村不自哀|all
陆游|冬夜读书示子聿|古人学问无遗力|all
陆游|临安春雨初霁|小楼一夜听春雨|小楼一夜听春雨/深巷明朝卖杏花
杨万里|小池|泉眼无声惜细流|all
杨万里|晓出净慈寺送林子方|毕竟西湖六月中|all
# 待核对通行异文，暂不入库：杨万里|宿新市徐公店|篱落疏疏一径深|all
杨万里|过松源晨炊漆公店|莫言下岭便无难|all
范成大|四时田园杂兴|昼出耘田夜绩麻|all
范成大|四时田园杂兴|梅子金黄杏子肥|all
朱熹|春日|胜日寻芳泗水滨|all
朱熹|观书有感|半亩方塘一鉴开|all
朱熹|观书有感|昨夜江边春水生|all
# 待核对通行异文，暂不入库：叶绍翁|游园不值|应怜屐齿印苍苔|all
翁卷|乡村四月|绿遍山原白满川|all
曾几|三衢道中|梅子黄时日日晴|all
赵师秀|约客|黄梅时节家家雨|all
# 课标有此篇，以课标为准：林升|题临安邸|山外青山楼外楼|all
林逋|山园小梅|众芳摇落独暄妍|疏影横斜水清浅/暗香浮动月黄昏
文天祥|过零丁洋|辛苦遭逢起一经|人生自古谁无死/留取丹心照汗青
# 待核对通行异文，暂不入库：李清照|夏日绝句|生当作人杰|all
苏轼|水调歌头|明月几时有|明月几时有/把酒问青天/但愿人长久/千里共婵娟/起舞弄清影/何似在人间
苏轼|江城子·乙卯正月二十日夜记梦|十年生死两茫茫|十年生死两茫茫
苏轼|江城子·密州出猎|老夫聊发少年狂|老夫聊发少年狂
苏轼|定风波|莫听穿林打叶声|莫听穿林打叶声/何妨吟啸且徐行/竹杖芒鞋轻胜马
苏轼|浣溪沙|谁道人生无再少|谁道人生无再少/门前流水尚能西/休将白发唱黄鸡
辛弃疾|青玉案·元夕|众里寻他千百度|众里寻他千百度/东风夜放花千树
辛弃疾|破阵子|醉里挑灯看剑|沙场秋点兵/可怜白发生
辛弃疾|丑奴儿·书博山道中壁|少年不识愁滋味|少年不识愁滋味/而今识尽愁滋味/却道天凉好个秋
辛弃疾|南乡子·登京口北固亭有怀|何处望神州|何处望神州/生子当如孙仲谋
李清照|一剪梅|红藕香残玉簟秋|红藕香残玉簟秋/花自飘零水自流
李清照|渔家傲|我报路长嗟日暮|我报路长嗟日暮/学诗谩有惊人句
晏殊|浣溪沙|一曲新词酒一杯|一曲新词酒一杯/去年天气旧亭台/无可奈何花落去/似曾相识燕归来/小园香径独徘徊
晏殊|蝶恋花|昨夜西风凋碧树|昨夜西风凋碧树
晏几道|临江仙|落花人独立|落花人独立/微雨燕双飞
# 待核对通行异文，暂不入库：欧阳修|生查子·元夕|月上柳梢头|去年元夜时/花市灯如昼/月上柳梢头/人约黄昏后/不见去年人/泪湿春衫袖
# 待核对通行异文，暂不入库：欧阳修|蝶恋花|庭院深深深几许|庭院深深深几许/泪眼问花花不语/乱红飞过秋千去
柳永|蝶恋花|衣带渐宽终不悔|衣带渐宽终不悔/为伊消得人憔悴
秦观|鹊桥仙|金风玉露一相逢|金风玉露一相逢
李之仪|卜算子|我住长江头|我住长江头/君住长江尾/日日思君不见君/共饮长江水
岳飞|满江红|三十功名尘与土|三十功名尘与土/八千里路云和月
